0.0, 615.0, 29.0, 10.0
1.0, 615.0, 29.0, 10.0
2.0, 615.0, 27.0, 11.0
3.0, 635.0, 29.0, 11.0
4.0, 635.0, 29.0, 11.0
5.0, 635.0, 29.0, 11.0
6.0, 645.0, 30.0, 11.0
7.0, 645.0, 30.0, 11.0
8.0, 645.0, 30.0, 11.0
9.0, 660.0, 30.0, 11.0
10.0, 670.0, 31.0, 11.0
11.0, 670.0, 31.0, 11.00.0
615.0
29.0
10.0
1.0
615.0
29.0
10.0
2.0
615.0
27.0
11.0
3.0
635.0
29.0
11.0
4.0
635.0
29.0
11.0
5.0
635.0
29.0
11.0
6.0
645.0
30.0
11.0
7.0
645.0
30.0
11.0
8.0
645.0
30.0
11.0
9.0
660.0
30.0
11.0
10.0
670.0
31.0
11.0
11.0
670.0
31.0
11.0
